,Unnamed: 0,calories,calfromfat,fat,satfat,transfat,cho,sodium,charbo,dietfac,sugar,protein,brand
0,5 React Fruit Slurpee,66,?,?,?,?,0mg,6mg,18g,0g,18g,0g,7-Eleven
1,Black Iced Coffee,5,?,?,?,?,0mg,25mg, 1g,0g,?,0g,7-Eleven
2,Blue Lightning Blast Slurpee,70,?,?,?,?,0mg,20mg,18g,0g,18g,0g,7-Eleven
3,Cherry Orange Blitz Slurpee,110,?,?,?,?,0mg,25mg,28g,0g,27g,0g,7-Eleven
4,Coca Cola Classic Slurpee,179,?,?,?,?,0mg,16mg,49g,0g,49g,0g,7-Eleven
5,Dr Pepper Slurpee,412,?,?,?,?,0mg,96mg,115g,0g,113g,0g,7-Eleven
6,Fanta Banana Slurpee,69,?,?,?,?,0mg,5mg,19g,0g,19g,0g,7-Eleven
7,Fanta Blue Raspberry Slurpee,65,?,?,?,?,0mg,5mg,17g,0g,17g,0g,7-Eleven
8,Fanta Cherry Limeade Slurpee Lite,21,?,?,?,?,0mg,0mg,8g,5g,?,0g,7-Eleven
9,Fanta Grape Slurpee,67,?,?,?,?,0mg,14mg,18g,0g,18g,0g,7-Eleven
10,Fanta Mango Passionfruit Slurpee Lite,20,?,?,?,?,0mg,0mg,6g,0g,?,0g,7-Eleven
11,Fanta Orange Slurpee,66,?,?,?,?,0mg,0mg,18g,0g,18g,0g,7-Eleven
12,Fanta Purple Vanilla Slurpee,67,?,?,?,?,0mg,10mg,18g,?,17g,0g,7-Eleven
13,Fanta Strawberry Banana Slurpee Lite,20,?,?,?,?,0mg,0mg,8g,5g,?,0g,7-Eleven
14,Fanta Winter White Mixed Berry Slurpee Lite,20,?,?,?,?,0mg,5mg,8g,5g,?,0g,7-Eleven
15,French Vanilla Iced Coffee,140,45,5g,2g,?,10mg,190mg,26g,0g,25g,3g,7-Eleven
16,Hazelnut Iced Coffee,55,?,?,?,?,0mg,10mg,13g,0g,12g,0g,7-Eleven
17,Mango Melody Slurpee,70,?,?,?,?,0mg,14mg,18g,0g,18g,0g,7-Eleven
18,Mocha Iced Coffee,140,27,3g,2g,?,10mg,250mg,26g, 0g,25g,3g,7-Eleven
19,Mountain Dew Blue Shock Slurpee,60,?,?,?,?,0mg,20mg,15g,0g,15g,0g,7-Eleven
