brand,menu,calories,fat,cho,sodium,charbo,sugar,protein
7-Eleven,5 React Fruit Slurpee,66.0,,0.0,6.0,18.0,18.0,0.0
7-Eleven,Black Iced Coffee,5.0,,0.0,25.0,1.0,,0.0
7-Eleven,Blue Lightning Blast Slurpee,70.0,,0.0,20.0,18.0,18.0,0.0
7-Eleven,Cherry Orange Blitz Slurpee,110.0,,0.0,25.0,28.0,27.0,0.0
7-Eleven,Coca Cola Classic Slurpee,179.0,,0.0,16.0,49.0,49.0,0.0
7-Eleven,Dr Pepper Slurpee,412.0,,0.0,96.0,115.0,113.0,0.0
7-Eleven,Fanta Banana Slurpee,69.0,,0.0,5.0,19.0,19.0,0.0
7-Eleven,Fanta Blue Raspberry Slurpee,65.0,,0.0,5.0,17.0,17.0,0.0
7-Eleven,Fanta Cherry Limeade Slurpee Lite,21.0,,0.0,0.0,8.0,,0.0
7-Eleven,Fanta Grape Slurpee,67.0,,0.0,14.0,18.0,18.0,0.0
7-Eleven,Fanta Mango Passionfruit Slurpee Lite,20.0,,0.0,0.0,6.0,,0.0
7-Eleven,Fanta Orange Slurpee,66.0,,0.0,0.0,18.0,18.0,0.0
7-Eleven,Fanta Purple Vanilla Slurpee,67.0,,0.0,10.0,18.0,17.0,0.0
7-Eleven,Fanta Strawberry Banana Slurpee Lite,20.0,,0.0,0.0,8.0,,0.0
7-Eleven,Fanta Winter White Mixed Berry Slurpee Lite,20.0,,0.0,5.0,8.0,,0.0
7-Eleven,French Vanilla Iced Coffee,140.0,5.0,10.0,190.0,26.0,25.0,3.0
7-Eleven,Hazelnut Iced Coffee,55.0,,0.0,10.0,13.0,12.0,0.0
7-Eleven,Mango Melody Slurpee,70.0,,0.0,14.0,18.0,18.0,0.0
7-Eleven,Mocha Iced Coffee,140.0,3.0,10.0,250.0,26.0,25.0,3.0
7-Eleven,Mountain Dew Blue Shock Slurpee,60.0,,0.0,20.0,15.0,15.0,0.0
7-Eleven,Mountain Dew Freeze Slurpee,60.0,,0.0,20.0,16.0,16.0,0.0
7-Eleven,Mountain Dew Game Fuel Slurpee,60.0,,0.0,20.0,17.0,17.0,0.0
7-Eleven,Peach Dragon Fruit Slurpee,84.0,,0.0,389.0,18.0,,0.0
7-Eleven,Red Apple Chill Slurpee,60.0,,0.0,14.0,17.0,17.0,0.0
7-Eleven,"Slurpee, Average Other Fanta Flavor",65.0,,0.0,5.0,17.0,17.0,0.0
7-Eleven,Snow Fruit Slurpee,70.0,,0.0,11.0,17.0,17.0,0.0
7-Eleven,Sprite Cranberry Slurpee Lite,20.0,,0.0,0.0,6.0,,0.0
7-Eleven,Sprite Slurpee Lite,20.0,,0.0,0.0,7.0,,0.0
7-Eleven,Sprite Snowball Blast Slurpee,60.0,,0.0,14.0,16.0,16.0,0.0
7-Eleven,Wicked Apple Slurpee,60.0,,0.0,20.0,17.0,17.0,0.0
7-Eleven,"Breakfast Bite Hot Dog, frank only",250.0,21.0,85.0,990.0,2.0,,12.0
7-Eleven,Sausage Biscuit Breakfast Sandwich,330.0,22.0,20.0,840.0,28.0,2.0,8.0
7-Eleven,Sausage Egg & Cheese Biscuit Breakfast Sandwich,460.0,32.0,165.0,1210.0,31.0,2.0,14.0
7-Eleven,Sausage Egg & Cheese Croissant Breakfast Sandwich,410.0,30.0,170.0,720.0,20.0,2.0,14.0
7-Eleven,Sausage Egg & Cheese English Muffin Breakfast Sandwich,390.0,25.0,165.0,750.0,24.0,1.0,15.0
7-Eleven,Bean & Cheese Burrito,640.0,21.0,10.0,1520.0,94.0,1.0,19.0
7-Eleven,Beef & Bean Burrito,720.0,31.0,35.0,1420.0,89.0,2.0,21.0
7-Eleven,"Beef, Bean & Green Chile Burrito",720.0,31.0,35.0,1380.0,89.0,2.0,21.0
7-Eleven,Red Hot Beef Burrito,670.0,30.0,40.0,1760.0,83.0,4.0,18.0
7-Eleven,Buffalo Chicken Roller,190.0,7.0,30.0,880.0,16.0,2.0,15.0
7-Eleven,Chicken Tenders,160.0,5.0,35.0,330.0,11.0,,16.0
7-Eleven,Corn Dog Roller,320.0,21.0,35.0,840.0,23.0,5.0,10.0
7-Eleven,Hash Browns,100.0,5.0,0.0,330.0,12.0,1.0,1.0
7-Eleven,Maple Pancake Sausage Roller,270.0,19.0,35.0,530.0,19.0,4.0,9.0
7-Eleven,Spicy Wing Zings,80.0,5.0,25.0,480.0,3.0,,6.0
7-Eleven,Pepperoni Pizza,300.0,14.0,30.0,720.0,30.0,2.0,14.0
7-Eleven,BLT Salad,270.0,18.0,40.0,910.0,12.0,3.0,16.0
7-Eleven,Chicken Caesar Salad,390.0,28.0,55.0,1060.0,17.0,4.0,16.0
7-Eleven,Garden Side Salad,30.0,,0.0,30.0,7.0,3.0,2.0
7-Eleven,Very Berry Salad,210.0,15.0,15.0,370.0,12.0,6.0,8.0
7-Eleven,"Big Bite Hot Dog, frank only",180.0,17.0,30.0,570.0,1.0,1.0,6.0
7-Eleven,"Cheeseburger Bite Hot Dog, frank only",440.0,38.0,120.0,330.0,2.0,2.0,21.0
7-Eleven,Chicken Salad Sandwich,400.0,14.0,50.0,840.0,44.0,6.0,18.0
7-Eleven,New Cilantro Lime Flatbread Sandwich,570.0,25.0,80.0,970.0,51.0,5.0,36.0
7-Eleven,"Quarter Pound Big Bite Hot Dog, frank only",360.0,34.0,60.0,1140.0,2.0,2.0,11.0
7-Eleven,Smart Turkey Sandwich,300.0,3.0,35.0,950.0,48.0,8.0,15.0
7-Eleven,"Smokie Bite Hot Dog, frank only",420.0,38.0,95.0,1500.0,2.0,2.0,19.0
7-Eleven,Southwest Turkey Sandwich,560.0,28.0,60.0,1360.0,48.0,7.0,19.0
7-Eleven,"Spicy Bite Hot Dog, frank only",270.0,24.0,55.0,910.0,2.0,1.0,11.0
7-Eleven,"Bacon, Egg, Cheese & Potato Taquito",190.0,8.0,15.0,350.0,23.0,1.0,6.0
7-Eleven,Buffalo Chicken Taquito,180.0,8.0,15.0,470.0,22.0,1.0,6.0
